Question,A,B,C,D,True Answer,True_Option,MC,MC_R
70 / 10 等于多少?,6,8,13,7,7,D,"请选择一个选项70 / 10 等于多少?: A 6.0 , B 8.0 , C 13.0 , D 7.0。只能选择一个选项，禁止解释。","请选择一个选项70 / 10 等于多少?: B 8.0 , A 6.0 , C 13.0 , D 7.0。只能选择一个选项，禁止解释。"
4 + 2 等于多少?,7,4,11,6,6,D,"请选择一个选项4 + 2 等于多少?: A 7.0 , B 4.0 , C 11.0 , D 6.0。只能选择一个选项，禁止解释。","请选择一个选项4 + 2 等于多少?: B 4.0 , A 7.0 , C 11.0 , D 6.0。只能选择一个选项，禁止解释。"
28 / 4 等于多少?,12,7,5,8,7,B,"请选择一个选项28 / 4 等于多少?: A 12.0 , B 7.0 , C 5.0 , D 8.0。只能选择一个选项，禁止解释。","请选择一个选项28 / 4 等于多少?: B 7.0 , A 12.0 , C 5.0 , D 8.0。只能选择一个选项，禁止解释。"
7 * 7 等于多少?,48,49,50,55,49,B,"请选择一个选项7 * 7 等于多少?: A 48.0 , B 49.0 , C 50.0 , D 55.0。只能选择一个选项，禁止解释。","请选择一个选项7 * 7 等于多少?: B 49.0 , A 48.0 , C 50.0 , D 55.0。只能选择一个选项，禁止解释。"
7 / 7 等于多少?,4,6,-2,1,1,D,"请选择一个选项7 / 7 等于多少?: A 4.0 , B 6.0 , C -2.0 , D 1.0。只能选择一个选项，禁止解释。","请选择一个选项7 / 7 等于多少?: B 6.0 , A 4.0 , C -2.0 , D 1.0。只能选择一个选项，禁止解释。"
8 + 4 等于多少?,18,12,11,15,12,B,"请选择一个选项8 + 4 等于多少?: A 18.0 , B 12.0 , C 11.0 , D 15.0。只能选择一个选项，禁止解释。","请选择一个选项8 + 4 等于多少?: B 12.0 , A 18.0 , C 11.0 , D 15.0。只能选择一个选项，禁止解释。"
63 / 7 等于多少?,7,9,11,13,9,B,"请选择一个选项63 / 7 等于多少?: A 7.0 , B 9.0 , C 11.0 , D 13.0。只能选择一个选项，禁止解释。","请选择一个选项63 / 7 等于多少?: B 9.0 , A 7.0 , C 11.0 , D 13.0。只能选择一个选项，禁止解释。"
2 * 6 等于多少?,13,12,16,9,12,B,"请选择一个选项2 * 6 等于多少?: A 13.0 , B 12.0 , C 16.0 , D 9.0。只能选择一个选项，禁止解释。","请选择一个选项2 * 6 等于多少?: B 12.0 , A 13.0 , C 16.0 , D 9.0。只能选择一个选项，禁止解释。"
3 * 4 等于多少?,12,11,17,15,12,A,"请选择一个选项3 * 4 等于多少?: A 12.0 , B 11.0 , C 17.0 , D 15.0。只能选择一个选项，禁止解释。","请选择一个选项3 * 4 等于多少?: B 11.0 , A 12.0 , C 17.0 , D 15.0。只能选择一个选项，禁止解释。"
5 * 3 等于多少?,18,12,15,21,15,C,"请选择一个选项5 * 3 等于多少?: A 18.0 , B 12.0 , C 15.0 , D 21.0。只能选择一个选项，禁止解释。","请选择一个选项5 * 3 等于多少?: B 12.0 , A 18.0 , C 15.0 , D 21.0。只能选择一个选项，禁止解释。"
3 * 5 等于多少?,13,15,17,19,15,B,"请选择一个选项3 * 5 等于多少?: A 13.0 , B 15.0 , C 17.0 , D 19.0。只能选择一个选项，禁止解释。","请选择一个选项3 * 5 等于多少?: B 15.0 , A 13.0 , C 17.0 , D 19.0。只能选择一个选项，禁止解释。"
10 - 1 等于多少?,13,10,9,7,9,C,"请选择一个选项10 - 1 等于多少?: A 13.0 , B 10.0 , C 9.0 , D 7.0。只能选择一个选项，禁止解释。","请选择一个选项10 - 1 等于多少?: B 10.0 , A 13.0 , C 9.0 , D 7.0。只能选择一个选项，禁止解释。"
5 + 7 等于多少?,11,15,16,12,12,D,"请选择一个选项5 + 7 等于多少?: A 11.0 , B 15.0 , C 16.0 , D 12.0。只能选择一个选项，禁止解释。","请选择一个选项5 + 7 等于多少?: B 15.0 , A 11.0 , C 16.0 , D 12.0。只能选择一个选项，禁止解释。"
1 * 7 等于多少?,5,7,12,10,7,B,"请选择一个选项1 * 7 等于多少?: A 5.0 , B 7.0 , C 12.0 , D 10.0。只能选择一个选项，禁止解释。","请选择一个选项1 * 7 等于多少?: B 7.0 , A 5.0 , C 12.0 , D 10.0。只能选择一个选项，禁止解释。"
10 + 7 等于多少?,22,18,15,17,17,D,"请选择一个选项10 + 7 等于多少?: A 22.0 , B 18.0 , C 15.0 , D 17.0。只能选择一个选项，禁止解释。","请选择一个选项10 + 7 等于多少?: B 18.0 , A 22.0 , C 15.0 , D 17.0。只能选择一个选项，禁止解释。"
2 * 8 等于多少?,17,16,13,22,16,B,"请选择一个选项2 * 8 等于多少?: A 17.0 , B 16.0 , C 13.0 , D 22.0。只能选择一个选项，禁止解释。","请选择一个选项2 * 8 等于多少?: B 16.0 , A 17.0 , C 13.0 , D 22.0。只能选择一个选项，禁止解释。"
1 / 1 等于多少?,1,0,6,3,1,A,"请选择一个选项1 / 1 等于多少?: A 1.0 , B 0.0 , C 6.0 , D 3.0。只能选择一个选项，禁止解释。","请选择一个选项1 / 1 等于多少?: B 0.0 , A 1.0 , C 6.0 , D 3.0。只能选择一个选项，禁止解释。"
10 * 10 等于多少?,101,105,100,98,100,C,"请选择一个选项10 * 10 等于多少?: A 101.0 , B 105.0 , C 100.0 , D 98.0。只能选择一个选项，禁止解释。","请选择一个选项10 * 10 等于多少?: B 105.0 , A 101.0 , C 100.0 , D 98.0。只能选择一个选项，禁止解释。"
10 * 7 等于多少?,70,72,74,67,70,A,"请选择一个选项10 * 7 等于多少?: A 70.0 , B 72.0 , C 74.0 , D 67.0。只能选择一个选项，禁止解释。","请选择一个选项10 * 7 等于多少?: B 72.0 , A 70.0 , C 74.0 , D 67.0。只能选择一个选项，禁止解释。"
10 * 8 等于多少?,83,78,84,80,80,D,"请选择一个选项10 * 8 等于多少?: A 83.0 , B 78.0 , C 84.0 , D 80.0。只能选择一个选项，禁止解释。","请选择一个选项10 * 8 等于多少?: B 78.0 , A 83.0 , C 84.0 , D 80.0。只能选择一个选项，禁止解释。"
4 - 9 等于多少?,-8,-4,-5,1,-5,C,"请选择一个选项4 - 9 等于多少?: A -8.0 , B -4.0 , C -5.0 , D 1.0。只能选择一个选项，禁止解释。","请选择一个选项4 - 9 等于多少?: B -4.0 , A -8.0 , C -5.0 , D 1.0。只能选择一个选项，禁止解释。"
9 * 6 等于多少?,55,52,54,60,54,C,"请选择一个选项9 * 6 等于多少?: A 55.0 , B 52.0 , C 54.0 , D 60.0。只能选择一个选项，禁止解释。","请选择一个选项9 * 6 等于多少?: B 52.0 , A 55.0 , C 54.0 , D 60.0。只能选择一个选项，禁止解释。"
6 - 8 等于多少?,-2,-3,-1,2,-2,A,"请选择一个选项6 - 8 等于多少?: A -2.0 , B -3.0 , C -1.0 , D 2.0。只能选择一个选项，禁止解释。","请选择一个选项6 - 8 等于多少?: B -3.0 , A -2.0 , C -1.0 , D 2.0。只能选择一个选项，禁止解释。"
16 / 2 等于多少?,9,8,12,6,8,B,"请选择一个选项16 / 2 等于多少?: A 9.0 , B 8.0 , C 12.0 , D 6.0。只能选择一个选项，禁止解释。","请选择一个选项16 / 2 等于多少?: B 8.0 , A 9.0 , C 12.0 , D 6.0。只能选择一个选项，禁止解释。"
1 - 5 等于多少?,1,-3,-4,-6,-4,C,"请选择一个选项1 - 5 等于多少?: A 1.0 , B -3.0 , C -4.0 , D -6.0。只能选择一个选项，禁止解释。","请选择一个选项1 - 5 等于多少?: B -3.0 , A 1.0 , C -4.0 , D -6.0。只能选择一个选项，禁止解释。"
5 + 10 等于多少?,18,20,12,15,15,D,"请选择一个选项5 + 10 等于多少?: A 18.0 , B 20.0 , C 12.0 , D 15.0。只能选择一个选项，禁止解释。","请选择一个选项5 + 10 等于多少?: B 20.0 , A 18.0 , C 12.0 , D 15.0。只能选择一个选项，禁止解释。"
10 * 9 等于多少?,93,95,90,88,90,C,"请选择一个选项10 * 9 等于多少?: A 93.0 , B 95.0 , C 90.0 , D 88.0。只能选择一个选项，禁止解释。","请选择一个选项10 * 9 等于多少?: B 95.0 , A 93.0 , C 90.0 , D 88.0。只能选择一个选项，禁止解释。"
9 / 9 等于多少?,1,4,0,5,1,A,"请选择一个选项9 / 9 等于多少?: A 1.0 , B 4.0 , C 0.0 , D 5.0。只能选择一个选项，禁止解释。","请选择一个选项9 / 9 等于多少?: B 4.0 , A 1.0 , C 0.0 , D 5.0。只能选择一个选项，禁止解释。"
8 + 4 等于多少?,11,12,17,14,12,B,"请选择一个选项8 + 4 等于多少?: A 11.0 , B 12.0 , C 17.0 , D 14.0。只能选择一个选项，禁止解释。","请选择一个选项8 + 4 等于多少?: B 12.0 , A 11.0 , C 17.0 , D 14.0。只能选择一个选项，禁止解释。"
8 * 10 等于多少?,80,79,86,81,80,A,"请选择一个选项8 * 10 等于多少?: A 80.0 , B 79.0 , C 86.0 , D 81.0。只能选择一个选项，禁止解释。","请选择一个选项8 * 10 等于多少?: B 79.0 , A 80.0 , C 86.0 , D 81.0。只能选择一个选项，禁止解释。"
60 / 6 等于多少?,12,9,16,10,10,D,"请选择一个选项60 / 6 等于多少?: A 12.0 , B 9.0 , C 16.0 , D 10.0。只能选择一个选项，禁止解释。","请选择一个选项60 / 6 等于多少?: B 9.0 , A 12.0 , C 16.0 , D 10.0。只能选择一个选项，禁止解释。"
10 * 1 等于多少?,11,7,14,10,10,D,"请选择一个选项10 * 1 等于多少?: A 11.0 , B 7.0 , C 14.0 , D 10.0。只能选择一个选项，禁止解释。","请选择一个选项10 * 1 等于多少?: B 7.0 , A 11.0 , C 14.0 , D 10.0。只能选择一个选项，禁止解释。"
4 * 3 等于多少?,11,16,12,13,12,C,"请选择一个选项4 * 3 等于多少?: A 11.0 , B 16.0 , C 12.0 , D 13.0。只能选择一个选项，禁止解释。","请选择一个选项4 * 3 等于多少?: B 16.0 , A 11.0 , C 12.0 , D 13.0。只能选择一个选项，禁止解释。"
8 - 5 等于多少?,3,1,4,8,3,A,"请选择一个选项8 - 5 等于多少?: A 3.0 , B 1.0 , C 4.0 , D 8.0。只能选择一个选项，禁止解释。","请选择一个选项8 - 5 等于多少?: B 1.0 , A 3.0 , C 4.0 , D 8.0。只能选择一个选项，禁止解释。"
3 + 8 等于多少?,12,10,11,17,11,C,"请选择一个选项3 + 8 等于多少?: A 12.0 , B 10.0 , C 11.0 , D 17.0。只能选择一个选项，禁止解释。","请选择一个选项3 + 8 等于多少?: B 10.0 , A 12.0 , C 11.0 , D 17.0。只能选择一个选项，禁止解释。"
70 / 7 等于多少?,15,8,10,11,10,C,"请选择一个选项70 / 7 等于多少?: A 15.0 , B 8.0 , C 10.0 , D 11.0。只能选择一个选项，禁止解释。","请选择一个选项70 / 7 等于多少?: B 8.0 , A 15.0 , C 10.0 , D 11.0。只能选择一个选项，禁止解释。"
10 + 6 等于多少?,19,13,20,16,16,D,"请选择一个选项10 + 6 等于多少?: A 19.0 , B 13.0 , C 20.0 , D 16.0。只能选择一个选项，禁止解释。","请选择一个选项10 + 6 等于多少?: B 13.0 , A 19.0 , C 20.0 , D 16.0。只能选择一个选项，禁止解释。"
8 * 6 等于多少?,48,51,53,45,48,A,"请选择一个选项8 * 6 等于多少?: A 48.0 , B 51.0 , C 53.0 , D 45.0。只能选择一个选项，禁止解释。","请选择一个选项8 * 6 等于多少?: B 51.0 , A 48.0 , C 53.0 , D 45.0。只能选择一个选项，禁止解释。"
5 * 8 等于多少?,41,45,40,38,40,C,"请选择一个选项5 * 8 等于多少?: A 41.0 , B 45.0 , C 40.0 , D 38.0。只能选择一个选项，禁止解释。","请选择一个选项5 * 8 等于多少?: B 45.0 , A 41.0 , C 40.0 , D 38.0。只能选择一个选项，禁止解释。"
6 * 7 等于多少?,42,43,40,48,42,A,"请选择一个选项6 * 7 等于多少?: A 42.0 , B 43.0 , C 40.0 , D 48.0。只能选择一个选项，禁止解释。","请选择一个选项6 * 7 等于多少?: B 43.0 , A 42.0 , C 40.0 , D 48.0。只能选择一个选项，禁止解释。"
40 / 4 等于多少?,9,10,14,12,10,B,"请选择一个选项40 / 4 等于多少?: A 9.0 , B 10.0 , C 14.0 , D 12.0。只能选择一个选项，禁止解释。","请选择一个选项40 / 4 等于多少?: B 10.0 , A 9.0 , C 14.0 , D 12.0。只能选择一个选项，禁止解释。"
10 / 2 等于多少?,5,10,2,7,5,A,"请选择一个选项10 / 2 等于多少?: A 5.0 , B 10.0 , C 2.0 , D 7.0。只能选择一个选项，禁止解释。","请选择一个选项10 / 2 等于多少?: B 10.0 , A 5.0 , C 2.0 , D 7.0。只能选择一个选项，禁止解释。"
8 + 9 等于多少?,18,16,22,17,17,D,"请选择一个选项8 + 9 等于多少?: A 18.0 , B 16.0 , C 22.0 , D 17.0。只能选择一个选项，禁止解释。","请选择一个选项8 + 9 等于多少?: B 16.0 , A 18.0 , C 22.0 , D 17.0。只能选择一个选项，禁止解释。"
4 * 5 等于多少?,26,22,19,20,20,D,"请选择一个选项4 * 5 等于多少?: A 26.0 , B 22.0 , C 19.0 , D 20.0。只能选择一个选项，禁止解释。","请选择一个选项4 * 5 等于多少?: B 22.0 , A 26.0 , C 19.0 , D 20.0。只能选择一个选项，禁止解释。"
4 + 9 等于多少?,12,14,13,19,13,C,"请选择一个选项4 + 9 等于多少?: A 12.0 , B 14.0 , C 13.0 , D 19.0。只能选择一个选项，禁止解释。","请选择一个选项4 + 9 等于多少?: B 14.0 , A 12.0 , C 13.0 , D 19.0。只能选择一个选项，禁止解释。"
4 - 7 等于多少?,-4,2,-2,-3,-3,D,"请选择一个选项4 - 7 等于多少?: A -4.0 , B 2.0 , C -2.0 , D -3.0。只能选择一个选项，禁止解释。","请选择一个选项4 - 7 等于多少?: B 2.0 , A -4.0 , C -2.0 , D -3.0。只能选择一个选项，禁止解释。"
6 * 9 等于多少?,54,60,53,55,54,A,"请选择一个选项6 * 9 等于多少?: A 54.0 , B 60.0 , C 53.0 , D 55.0。只能选择一个选项，禁止解释。","请选择一个选项6 * 9 等于多少?: B 60.0 , A 54.0 , C 53.0 , D 55.0。只能选择一个选项，禁止解释。"
20 / 5 等于多少?,3,4,9,6,4,B,"请选择一个选项20 / 5 等于多少?: A 3.0 , B 4.0 , C 9.0 , D 6.0。只能选择一个选项，禁止解释。","请选择一个选项20 / 5 等于多少?: B 4.0 , A 3.0 , C 9.0 , D 6.0。只能选择一个选项，禁止解释。"
5 + 8 等于多少?,18,10,13,15,13,C,"请选择一个选项5 + 8 等于多少?: A 18.0 , B 10.0 , C 13.0 , D 15.0。只能选择一个选项，禁止解释。","请选择一个选项5 + 8 等于多少?: B 10.0 , A 18.0 , C 13.0 , D 15.0。只能选择一个选项，禁止解释。"
3 * 3 等于多少?,6,12,15,9,9,D,"请选择一个选项3 * 3 等于多少?: A 6.0 , B 12.0 , C 15.0 , D 9.0。只能选择一个选项，禁止解释。","请选择一个选项3 * 3 等于多少?: B 12.0 , A 6.0 , C 15.0 , D 9.0。只能选择一个选项，禁止解释。"
5 + 4 等于多少?,14,7,11,9,9,D,"请选择一个选项5 + 4 等于多少?: A 14.0 , B 7.0 , C 11.0 , D 9.0。只能选择一个选项，禁止解释。","请选择一个选项5 + 4 等于多少?: B 7.0 , A 14.0 , C 11.0 , D 9.0。只能选择一个选项，禁止解释。"
4 - 9 等于多少?,-5,-4,-7,0,-5,A,"请选择一个选项4 - 9 等于多少?: A -5.0 , B -4.0 , C -7.0 , D 0.0。只能选择一个选项，禁止解释。","请选择一个选项4 - 9 等于多少?: B -4.0 , A -5.0 , C -7.0 , D 0.0。只能选择一个选项，禁止解释。"
9 + 5 等于多少?,12,18,15,14,14,D,"请选择一个选项9 + 5 等于多少?: A 12.0 , B 18.0 , C 15.0 , D 14.0。只能选择一个选项，禁止解释。","请选择一个选项9 + 5 等于多少?: B 18.0 , A 12.0 , C 15.0 , D 14.0。只能选择一个选项，禁止解释。"
6 - 4 等于多少?,2,3,-1,8,2,A,"请选择一个选项6 - 4 等于多少?: A 2.0 , B 3.0 , C -1.0 , D 8.0。只能选择一个选项，禁止解释。","请选择一个选项6 - 4 等于多少?: B 3.0 , A 2.0 , C -1.0 , D 8.0。只能选择一个选项，禁止解释。"
3 + 3 等于多少?,6,12,8,4,6,A,"请选择一个选项3 + 3 等于多少?: A 6.0 , B 12.0 , C 8.0 , D 4.0。只能选择一个选项，禁止解释。","请选择一个选项3 + 3 等于多少?: B 12.0 , A 6.0 , C 8.0 , D 4.0。只能选择一个选项，禁止解释。"
20 / 5 等于多少?,4,7,8,3,4,A,"请选择一个选项20 / 5 等于多少?: A 4.0 , B 7.0 , C 8.0 , D 3.0。只能选择一个选项，禁止解释。","请选择一个选项20 / 5 等于多少?: B 7.0 , A 4.0 , C 8.0 , D 3.0。只能选择一个选项，禁止解释。"
28 / 7 等于多少?,10,7,1,4,4,D,"请选择一个选项28 / 7 等于多少?: A 10.0 , B 7.0 , C 1.0 , D 4.0。只能选择一个选项，禁止解释。","请选择一个选项28 / 7 等于多少?: B 7.0 , A 10.0 , C 1.0 , D 4.0。只能选择一个选项，禁止解释。"
3 * 10 等于多少?,29,30,34,31,30,B,"请选择一个选项3 * 10 等于多少?: A 29.0 , B 30.0 , C 34.0 , D 31.0。只能选择一个选项，禁止解释。","请选择一个选项3 * 10 等于多少?: B 30.0 , A 29.0 , C 34.0 , D 31.0。只能选择一个选项，禁止解释。"
5 + 3 等于多少?,12,9,8,5,8,C,"请选择一个选项5 + 3 等于多少?: A 12.0 , B 9.0 , C 8.0 , D 5.0。只能选择一个选项，禁止解释。","请选择一个选项5 + 3 等于多少?: B 9.0 , A 12.0 , C 8.0 , D 5.0。只能选择一个选项，禁止解释。"
6 - 7 等于多少?,4,-3,1,-1,-1,D,"请选择一个选项6 - 7 等于多少?: A 4.0 , B -3.0 , C 1.0 , D -1.0。只能选择一个选项，禁止解释。","请选择一个选项6 - 7 等于多少?: B -3.0 , A 4.0 , C 1.0 , D -1.0。只能选择一个选项，禁止解释。"
3 / 3 等于多少?,1,2,-1,6,1,A,"请选择一个选项3 / 3 等于多少?: A 1.0 , B 2.0 , C -1.0 , D 6.0。只能选择一个选项，禁止解释。","请选择一个选项3 / 3 等于多少?: B 2.0 , A 1.0 , C -1.0 , D 6.0。只能选择一个选项，禁止解释。"
1 * 8 等于多少?,14,10,6,8,8,D,"请选择一个选项1 * 8 等于多少?: A 14.0 , B 10.0 , C 6.0 , D 8.0。只能选择一个选项，禁止解释。","请选择一个选项1 * 8 等于多少?: B 10.0 , A 14.0 , C 6.0 , D 8.0。只能选择一个选项，禁止解释。"
6 - 5 等于多少?,4,7,1,-1,1,C,"请选择一个选项6 - 5 等于多少?: A 4.0 , B 7.0 , C 1.0 , D -1.0。只能选择一个选项，禁止解释。","请选择一个选项6 - 5 等于多少?: B 7.0 , A 4.0 , C 1.0 , D -1.0。只能选择一个选项，禁止解释。"
50 / 5 等于多少?,10,8,13,16,10,A,"请选择一个选项50 / 5 等于多少?: A 10.0 , B 8.0 , C 13.0 , D 16.0。只能选择一个选项，禁止解释。","请选择一个选项50 / 5 等于多少?: B 8.0 , A 10.0 , C 13.0 , D 16.0。只能选择一个选项，禁止解释。"
4 * 9 等于多少?,40,34,36,39,36,C,"请选择一个选项4 * 9 等于多少?: A 40.0 , B 34.0 , C 36.0 , D 39.0。只能选择一个选项，禁止解释。","请选择一个选项4 * 9 等于多少?: B 34.0 , A 40.0 , C 36.0 , D 39.0。只能选择一个选项，禁止解释。"
6 - 8 等于多少?,1,-2,4,-5,-2,B,"请选择一个选项6 - 8 等于多少?: A 1.0 , B -2.0 , C 4.0 , D -5.0。只能选择一个选项，禁止解释。","请选择一个选项6 - 8 等于多少?: B -2.0 , A 1.0 , C 4.0 , D -5.0。只能选择一个选项，禁止解释。"
5 * 4 等于多少?,26,20,17,23,20,B,"请选择一个选项5 * 4 等于多少?: A 26.0 , B 20.0 , C 17.0 , D 23.0。只能选择一个选项，禁止解释。","请选择一个选项5 * 4 等于多少?: B 20.0 , A 26.0 , C 17.0 , D 23.0。只能选择一个选项，禁止解释。"
1 * 10 等于多少?,14,9,10,11,10,C,"请选择一个选项1 * 10 等于多少?: A 14.0 , B 9.0 , C 10.0 , D 11.0。只能选择一个选项，禁止解释。","请选择一个选项1 * 10 等于多少?: B 9.0 , A 14.0 , C 10.0 , D 11.0。只能选择一个选项，禁止解释。"
8 + 2 等于多少?,15,10,12,9,10,B,"请选择一个选项8 + 2 等于多少?: A 15.0 , B 10.0 , C 12.0 , D 9.0。只能选择一个选项，禁止解释。","请选择一个选项8 + 2 等于多少?: B 10.0 , A 15.0 , C 12.0 , D 9.0。只能选择一个选项，禁止解释。"
63 / 7 等于多少?,9,13,11,6,9,A,"请选择一个选项63 / 7 等于多少?: A 9.0 , B 13.0 , C 11.0 , D 6.0。只能选择一个选项，禁止解释。","请选择一个选项63 / 7 等于多少?: B 13.0 , A 9.0 , C 11.0 , D 6.0。只能选择一个选项，禁止解释。"
3 - 9 等于多少?,-7,-6,-5,-1,-6,B,"请选择一个选项3 - 9 等于多少?: A -7.0 , B -6.0 , C -5.0 , D -1.0。只能选择一个选项，禁止解释。","请选择一个选项3 - 9 等于多少?: B -6.0 , A -7.0 , C -5.0 , D -1.0。只能选择一个选项，禁止解释。"
3 - 9 等于多少?,-3,-2,-6,-8,-6,C,"请选择一个选项3 - 9 等于多少?: A -3.0 , B -2.0 , C -6.0 , D -8.0。只能选择一个选项，禁止解释。","请选择一个选项3 - 9 等于多少?: B -2.0 , A -3.0 , C -6.0 , D -8.0。只能选择一个选项，禁止解释。"
2 / 1 等于多少?,2,7,0,3,2,A,"请选择一个选项2 / 1 等于多少?: A 2.0 , B 7.0 , C 0.0 , D 3.0。只能选择一个选项，禁止解释。","请选择一个选项2 / 1 等于多少?: B 7.0 , A 2.0 , C 0.0 , D 3.0。只能选择一个选项，禁止解释。"
9 * 5 等于多少?,51,46,43,45,45,D,"请选择一个选项9 * 5 等于多少?: A 51.0 , B 46.0 , C 43.0 , D 45.0。只能选择一个选项，禁止解释。","请选择一个选项9 * 5 等于多少?: B 46.0 , A 51.0 , C 43.0 , D 45.0。只能选择一个选项，禁止解释。"
1 * 8 等于多少?,14,11,7,8,8,D,"请选择一个选项1 * 8 等于多少?: A 14.0 , B 11.0 , C 7.0 , D 8.0。只能选择一个选项，禁止解释。","请选择一个选项1 * 8 等于多少?: B 11.0 , A 14.0 , C 7.0 , D 8.0。只能选择一个选项，禁止解释。"
1 - 8 等于多少?,-7,-3,-9,-5,-7,A,"请选择一个选项1 - 8 等于多少?: A -7.0 , B -3.0 , C -9.0 , D -5.0。只能选择一个选项，禁止解释。","请选择一个选项1 - 8 等于多少?: B -3.0 , A -7.0 , C -9.0 , D -5.0。只能选择一个选项，禁止解释。"
20 / 10 等于多少?,-1,6,2,3,2,C,"请选择一个选项20 / 10 等于多少?: A -1.0 , B 6.0 , C 2.0 , D 3.0。只能选择一个选项，禁止解释。","请选择一个选项20 / 10 等于多少?: B 6.0 , A -1.0 , C 2.0 , D 3.0。只能选择一个选项，禁止解释。"
27 / 9 等于多少?,0,3,4,8,3,B,"请选择一个选项27 / 9 等于多少?: A 0.0 , B 3.0 , C 4.0 , D 8.0。只能选择一个选项，禁止解释。","请选择一个选项27 / 9 等于多少?: B 3.0 , A 0.0 , C 4.0 , D 8.0。只能选择一个选项，禁止解释。"
56 / 7 等于多少?,8,12,5,9,8,A,"请选择一个选项56 / 7 等于多少?: A 8.0 , B 12.0 , C 5.0 , D 9.0。只能选择一个选项，禁止解释。","请选择一个选项56 / 7 等于多少?: B 12.0 , A 8.0 , C 5.0 , D 9.0。只能选择一个选项，禁止解释。"
1 - 2 等于多少?,3,-1,-3,0,-1,B,"请选择一个选项1 - 2 等于多少?: A 3.0 , B -1.0 , C -3.0 , D 0.0。只能选择一个选项，禁止解释。","请选择一个选项1 - 2 等于多少?: B -1.0 , A 3.0 , C -3.0 , D 0.0。只能选择一个选项，禁止解释。"
5 * 4 等于多少?,23,17,20,24,20,C,"请选择一个选项5 * 4 等于多少?: A 23.0 , B 17.0 , C 20.0 , D 24.0。只能选择一个选项，禁止解释。","请选择一个选项5 * 4 等于多少?: B 17.0 , A 23.0 , C 20.0 , D 24.0。只能选择一个选项，禁止解释。"
2 + 8 等于多少?,7,16,10,12,10,C,"请选择一个选项2 + 8 等于多少?: A 7.0 , B 16.0 , C 10.0 , D 12.0。只能选择一个选项，禁止解释。","请选择一个选项2 + 8 等于多少?: B 16.0 , A 7.0 , C 10.0 , D 12.0。只能选择一个选项，禁止解释。"
18 / 6 等于多少?,9,3,1,5,3,B,"请选择一个选项18 / 6 等于多少?: A 9.0 , B 3.0 , C 1.0 , D 5.0。只能选择一个选项，禁止解释。","请选择一个选项18 / 6 等于多少?: B 3.0 , A 9.0 , C 1.0 , D 5.0。只能选择一个选项，禁止解释。"
5 - 3 等于多少?,7,2,-1,5,2,B,"请选择一个选项5 - 3 等于多少?: A 7.0 , B 2.0 , C -1.0 , D 5.0。只能选择一个选项，禁止解释。","请选择一个选项5 - 3 等于多少?: B 2.0 , A 7.0 , C -1.0 , D 5.0。只能选择一个选项，禁止解释。"
8 + 9 等于多少?,17,15,19,23,17,A,"请选择一个选项8 + 9 等于多少?: A 17.0 , B 15.0 , C 19.0 , D 23.0。只能选择一个选项，禁止解释。","请选择一个选项8 + 9 等于多少?: B 15.0 , A 17.0 , C 19.0 , D 23.0。只能选择一个选项，禁止解释。"
10 + 7 等于多少?,22,19,17,14,17,C,"请选择一个选项10 + 7 等于多少?: A 22.0 , B 19.0 , C 17.0 , D 14.0。只能选择一个选项，禁止解释。","请选择一个选项10 + 7 等于多少?: B 19.0 , A 22.0 , C 17.0 , D 14.0。只能选择一个选项，禁止解释。"
9 - 10 等于多少?,-3,3,0,-1,-1,D,"请选择一个选项9 - 10 等于多少?: A -3.0 , B 3.0 , C 0.0 , D -1.0。只能选择一个选项，禁止解释。","请选择一个选项9 - 10 等于多少?: B 3.0 , A -3.0 , C 0.0 , D -1.0。只能选择一个选项，禁止解释。"
7 - 2 等于多少?,5,6,10,4,5,A,"请选择一个选项7 - 2 等于多少?: A 5.0 , B 6.0 , C 10.0 , D 4.0。只能选择一个选项，禁止解释。","请选择一个选项7 - 2 等于多少?: B 6.0 , A 5.0 , C 10.0 , D 4.0。只能选择一个选项，禁止解释。"
16 / 8 等于多少?,0,2,5,7,2,B,"请选择一个选项16 / 8 等于多少?: A 0.0 , B 2.0 , C 5.0 , D 7.0。只能选择一个选项，禁止解释。","请选择一个选项16 / 8 等于多少?: B 2.0 , A 0.0 , C 5.0 , D 7.0。只能选择一个选项，禁止解释。"
50 / 5 等于多少?,8,14,10,11,10,C,"请选择一个选项50 / 5 等于多少?: A 8.0 , B 14.0 , C 10.0 , D 11.0。只能选择一个选项，禁止解释。","请选择一个选项50 / 5 等于多少?: B 14.0 , A 8.0 , C 10.0 , D 11.0。只能选择一个选项，禁止解释。"
9 - 7 等于多少?,6,4,0,2,2,D,"请选择一个选项9 - 7 等于多少?: A 6.0 , B 4.0 , C 0.0 , D 2.0。只能选择一个选项，禁止解释。","请选择一个选项9 - 7 等于多少?: B 4.0 , A 6.0 , C 0.0 , D 2.0。只能选择一个选项，禁止解释。"
10 + 6 等于多少?,19,21,16,15,16,C,"请选择一个选项10 + 6 等于多少?: A 19.0 , B 21.0 , C 16.0 , D 15.0。只能选择一个选项，禁止解释。","请选择一个选项10 + 6 等于多少?: B 21.0 , A 19.0 , C 16.0 , D 15.0。只能选择一个选项，禁止解释。"
